,MES_ANO,STATUS,ESTADO,TAMANHO_TEXTO
593,08/2022,Não respondida,SP,498
594,08/2022,Em réplica,PE,648
595,08/2022,Não respondida,RN,389
596,08/2022,Não respondida,MT,1568
597,08/2022,Respondida,BA,255
598,08/2022,Não respondida,PB,1622
599,08/2022,Não respondida,CE,211
600,08/2022,Não respondida,MA,800
601,08/2022,Não respondida,CE,534
602,08/2022,Não respondida,PE,922
603,08/2022,Respondida,GO,1419
604,08/2022,Em réplica,PE,354
605,08/2022,Não respondida,CE,117
606,08/2022,Não respondida,RN,1218
607,08/2022,Não respondida,CE,127
608,08/2022,Não respondida,PE,1206
609,08/2022,Respondida,CE,132
610,08/2022,Não respondida,BA,1477
611,08/2022,Não respondida,PE,562
612,08/2022,Resolvido,CE,401
613,08/2022,Não respondida,PE,899
614,08/2022,Não respondida,SP,1976
615,08/2022,Respondida,RN,380
616,08/2022,Não respondida,GO,317
617,08/2022,Em réplica,GO,384
618,08/2022,Resolvido,GO,918
619,08/2022,Em réplica,CE,451
620,08/2022,Não respondida,BA,757
621,08/2022,Não respondida,CE,561
622,08/2022,Resolvido,SC,439
623,08/2022,Não respondida,BA,442
624,08/2022,Respondida,BA,337
625,08/2022,Respondida,RN,649
626,08/2022,Resolvido,GO,867
627,08/2022,Respondida,MA,1329
628,08/2022,Resolvido,PE,285
629,08/2022,Respondida,AM,242
630,08/2022,Não respondida,BA,850
631,08/2022,Não respondida,SP,394
632,08/2022,Não respondida,GO,1388
633,08/2022,Respondida,SP,579
634,08/2022,Resolvido,PA,460
635,08/2022,Não respondida,CE,543
636,08/2022,Não respondida,PE,1699
637,08/2022,Respondida,PE,491
638,08/2022,Não respondida,BA,477
639,08/2022,Não respondida,PE,780
640,08/2022,Respondida,CE,1036
641,08/2022,Não respondida,SP,2085
642,08/2022,Em réplica,PE,359
643,08/2022,Não respondida,RJ,327
644,08/2022,Não resolvido,CE,167
645,08/2022,Respondida,BA,1009
646,08/2022,Não respondida,BA,565
647,08/2022,Resolvido,MG,163
648,08/2022,Respondida,PB,446
649,08/2022,Resolvido,CE,1214
650,08/2022,Respondida,PE,371
651,08/2022,Não respondida,PE,739
652,08/2022,Não respondida,SP,239
653,08/2022,Respondida,PE,330
654,08/2022,Respondida,BA,930
655,08/2022,Respondida,BA,203
656,08/2022,Não respondida,CE,313
657,08/2022,Não respondida,PA,522
658,08/2022,Não respondida,GO,908
659,08/2022,Não respondida,SP,524
660,08/2022,Não respondida,MG,600
661,08/2022,Não respondida,PE,450
662,08/2022,Respondida,BA,619
663,08/2022,Não respondida,PB,646
664,08/2022,Não respondida,SP,599
665,08/2022,Resolvido,AM,307
666,08/2022,Respondida,AL,588
667,08/2022,Não respondida,BA,421
668,08/2022,Respondida,PE,583
669,08/2022,Respondida,PE,450
670,08/2022,Não respondida,PE,575
671,08/2022,Não respondida,BA,521
672,08/2022,Não respondida,BA,785
673,08/2022,Não respondida,PE,1291
674,08/2022,Não respondida,MA,1999
675,08/2022,Respondida,BA,875
676,08/2022,Não respondida,CE,459
677,08/2022,Não respondida,MA,773
678,08/2022,Não respondida,CE,332
679,08/2022,Não respondida,CE,1664
680,08/2022,Não respondida,SC,2053
681,08/2022,Em réplica,SP,1504
682,08/2022,Respondida,GO,430
683,08/2022,Respondida,SP,324
684,08/2022,Respondida,MS,664
685,08/2022,Em réplica,RN,757
686,08/2022,Em réplica,RN,1369
687,08/2022,Respondida,BA,244
688,08/2022,Não respondida,CE,2248
689,08/2022,Respondida,CE,421
690,08/2022,Não respondida,SE,577
691,08/2022,Respondida,GO,586
692,08/2022,Não respondida,GO,364
693,08/2022,Respondida,PE,410
694,08/2022,Não respondida,GO,554
695,08/2022,Não respondida,CE,365
696,08/2022,Não respondida,BA,1604
697,08/2022,Não respondida,SP,229
698,08/2022,Respondida,BA,472
699,08/2022,Não respondida,CE,562
700,08/2022,Não respondida,RN,768
701,08/2022,Não respondida,GO,284
702,08/2022,Respondida,CE,569
703,08/2022,Resolvido,GO,346
704,08/2022,Não respondida,CE,1052
705,08/2022,Não respondida,SP,405
706,08/2022,Não respondida,BA,873
707,08/2022,Não respondida,AL,1122
708,08/2022,Em réplica,RN,205
709,08/2022,Não respondida,PB,1685
710,08/2022,Respondida,RN,730
711,08/2022,Respondida,DF,748
712,08/2022,Respondida,PE,1465
713,08/2022,Respondida,CE,363
714,08/2022,Respondida,RN,586
715,08/2022,Respondida,CE,833
716,08/2022,Respondida,GO,256
717,08/2022,Em réplica,CE,375
718,08/2022,Respondida,CE,568
719,08/2022,Respondida,GO,1138
720,08/2022,Resolvido,PB,582
721,08/2022,Respondida,PA,458
722,08/2022,Resolvido,CE,444
723,08/2022,Respondida,PE,767
724,08/2022,Em réplica,SP,266
725,08/2022,Não respondida,PE,537
726,08/2022,Respondida,PE,316
727,08/2022,Respondida,PE,725
728,08/2022,Não respondida,AM,332
729,08/2022,Respondida,PE,525
730,08/2022,Não respondida,MG,528
731,08/2022,Não respondida,GO,148
732,08/2022,Respondida,GO,831
733,08/2022,Não respondida,GO,1659
734,08/2022,Não respondida,MS,221
735,08/2022,Respondida,RN,200
736,08/2022,Não respondida,DF,381
737,08/2022,Não respondida,SP,1066
738,08/2022,Não respondida,CE,323
739,08/2022,Não respondida,BA,223
740,08/2022,Não respondida,AL,499
741,08/2022,Respondida,SP,1593
742,08/2022,Resolvido,PB,405
743,08/2022,Não respondida,AM,993
744,08/2022,Resolvido,CE,379
745,08/2022,Respondida,CE,307
746,08/2022,Não respondida,PA,17999
747,08/2022,Não respondida,GO,115
748,08/2022,Não respondida,CE,865
749,08/2022,Não respondida,SP,3675
750,08/2022,Resolvido,CE,1001
751,08/2022,Em réplica,SE,1522
752,08/2022,Respondida,AM,1151
753,08/2022,Não respondida,PE,269
754,08/2022,Respondida,SP,873
755,08/2022,Respondida,CE,417
756,08/2022,Não respondida,GO,830
757,08/2022,Respondida,CE,443
758,08/2022,Respondida,SP,3253
759,08/2022,Resolvido,BA,697
760,08/2022,Respondida,PE,665
761,08/2022,Em réplica,GO,884
762,08/2022,Respondida,CE,114
763,08/2022,Não respondida,SP,1137
764,08/2022,Respondida,SP,981
765,08/2022,Não respondida,BA,287
766,08/2022,Respondida,BA,1034
767,08/2022,Não respondida,CE,713
768,08/2022,Respondida,PE,863
769,08/2022,Resolvido,PE,1171
770,08/2022,Respondida,PE,1031
771,08/2022,Em réplica,PE,653
772,08/2022,Não resolvido,PE,817
773,09/2022,Não respondida,CE,311
774,09/2022,Não respondida,CE,745
775,09/2022,Não respondida,CE,977
776,09/2022,Não respondida,CE,111
